LLId,ActionType,InstanceName,CommandType,TargetPosition,ParentMLAction,Success,ExecTimeMs
98,MoveToLL,MoveToLL_PickUpML_stick11_initlocstick11_robot1_gripper1_rppickup,movel,rppickup,,True,5905.77
99,MoveToLL,MoveToLL_TravelML_robot1_rppickup_rpmanipulate_dup12,movej,rpmanipulate,,True,10862.56
100,MoveToLL,MoveToLL_StackOnTwoML_stick11_robot1_finallocstick11_rpmanipulate_stick6_stick7_gripper1_layer2_layer3,planned,finallocstick11,,True,19123.75
101,MoveToLL,MoveToLL_StackOnTwoML_stick11_robot1_finallocstick11_rpmanipulate_stick6_stick7_gripper1_layer2_layer3,movej,rpmanipulate,,True,10053.19
102,MoveToLL,MoveToLL_TravelML_robot1_rpmanipulate_rppickup_dup12,movej,rppickup,,True,10911.05
103,MoveToLL,MoveToLL_PickUpML_stick10_initlocstick10_robot1_gripper1_rppickup,movel,initlocstick10,,True,5426.04
104,CloseGripperLL,CloseGripperLL_PickUpML_stick10_initlocstick10_robot1_gripper1_rppickup,close_gripper,,,True,13.95
105,MoveToLL,MoveToLL_PickUpML_stick10_initlocstick10_robot1_gripper1_rppickup,movel,rppickup,,True,5251.81
106,MoveToLL,MoveToLL_TravelML_robot1_rppickup_rpmanipulate_dup13,movej,rpmanipulate,,True,10745.88
107,MoveToLL,MoveToLL_StackOnTwoML_stick10_robot1_finallocstick10_rpmanipulate_stick6_cube1_gripper1_layer2_layer3,planned,finallocstick10,,True,21524.60
108,MoveToLL,MoveToLL_StackOnTwoML_stick10_robot1_finallocstick10_rpmanipulate_stick6_cube1_gripper1_layer2_layer3,movej,rpmanipulate,,True,13589.50
109,MoveToLL,MoveToLL_TravelML_robot1_rpmanipulate_rppickup_dup13,movej,rppickup,,True,10749.38
110,MoveToLL,MoveToLL_PickUpML_stick13_initlocstick13_robot1_gripper1_rppickup,movel,initlocstick13,,True,5157.40
111,CloseGripperLL,CloseGripperLL_PickUpML_stick13_initlocstick13_robot1_gripper1_rppickup,close_gripper,,,True,13.69
112,MoveToLL,MoveToLL_PickUpML_stick13_initlocstick13_robot1_gripper1_rppickup,movel,rppickup,,True,5833.87
